teryt_powiat,powiat,rok,typ,miara,populacja,zrodlo_var_id,zrodlo_url,pobrano
011212303000,Powiat chrzanowski,2022,historyczny,wiek_poprodukcyjny,30588,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212303000,Powiat chrzanowski,2023,historyczny,wiek_poprodukcyjny,31074,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212303000,Powiat chrzanowski,2024,historyczny,wiek_poprodukcyjny,31519,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212312000,Powiat olkuski,2015,historyczny,wiek_poprodukcyjny,23708,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212312000,Powiat olkuski,2016,historyczny,wiek_poprodukcyjny,24545,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212312000,Powiat olkuski,2017,historyczny,wiek_poprodukcyjny,25368,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212312000,Powiat olkuski,2018,historyczny,wiek_poprodukcyjny,26091,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212312000,Powiat olkuski,2019,historyczny,wiek_poprodukcyjny,26656,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212312000,Powiat olkuski,2020,historyczny,wiek_poprodukcyjny,27080,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212312000,Powiat olkuski,2021,historyczny,wiek_poprodukcyjny,27275,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212312000,Powiat olkuski,2022,historyczny,wiek_poprodukcyjny,27659,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212312000,Powiat olkuski,2023,historyczny,wiek_poprodukcyjny,28078,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212312000,Powiat olkuski,2024,historyczny,wiek_poprodukcyjny,28395,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212313000,Powiat oświęcimski,2015,historyczny,wiek_poprodukcyjny,31011,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212313000,Powiat oświęcimski,2016,historyczny,wiek_poprodukcyjny,31989,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212313000,Powiat oświęcimski,2017,historyczny,wiek_poprodukcyjny,32793,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212313000,Powiat oświęcimski,2018,historyczny,wiek_poprodukcyjny,33621,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212313000,Powiat oświęcimski,2019,historyczny,wiek_poprodukcyjny,34359,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212313000,Powiat oświęcimski,2020,historyczny,wiek_poprodukcyjny,34872,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212313000,Powiat oświęcimski,2021,historyczny,wiek_poprodukcyjny,35103,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212313000,Powiat oświęcimski,2022,historyczny,wiek_poprodukcyjny,35581,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212313000,Powiat oświęcimski,2023,historyczny,wiek_poprodukcyjny,36213,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212313000,Powiat oświęcimski,2024,historyczny,wiek_poprodukcyjny,36795,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212318000,Powiat wadowicki,2015,historyczny,wiek_poprodukcyjny,27782,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212318000,Powiat wadowicki,2016,historyczny,wiek_poprodukcyjny,28563,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212318000,Powiat wadowicki,2017,historyczny,wiek_poprodukcyjny,29256,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212318000,Powiat wadowicki,2018,historyczny,wiek_poprodukcyjny,29965,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212318000,Powiat wadowicki,2019,historyczny,wiek_poprodukcyjny,30700,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212318000,Powiat wadowicki,2020,historyczny,wiek_poprodukcyjny,31374,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212318000,Powiat wadowicki,2021,historyczny,wiek_poprodukcyjny,31774,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212318000,Powiat wadowicki,2022,historyczny,wiek_poprodukcyjny,32397,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212318000,Powiat wadowicki,2023,historyczny,wiek_poprodukcyjny,33024,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212318000,Powiat wadowicki,2024,historyczny,wiek_poprodukcyjny,33653,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212402000,Powiat brzeski,2015,historyczny,wiek_poprodukcyjny,15683,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212402000,Powiat brzeski,2016,historyczny,wiek_poprodukcyjny,16056,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
