id,typ,city,name,status,old_website,new_website,action
406,GOPS,lodygowice,"Gminny Ośrodek Pomocy Społecznej w Łodygowicach",FOUND_NEW,,https://gopslodygowice.pl,INSERT
410,GOPS,las,"Gminny Ośrodek Pomocy Społecznej w Ślemieniu",FOUND_NEW,,https://slemien.naszops.pl,INSERT
411,GOPS,pewel mala,"Gminny Ośrodek Pomocy Społecznej w Świnnej",FOUND_NEW,,https://swinna.naszops.pl,INSERT
102,GOPS,sekowa,"Gminny Ośrodek Pomocy Społecznej w Sękowej",NOT_FOUND,,,MANUAL
115,GOPS,jodlownik,"Gminny Ośrodek Pomocy Społecznej w Jodłowniku",NOT_FOUND,,,MANUAL
117,GOPS,limanowa,"Gminny Ośrodek Pomocy Społecznej w Limanowej",NOT_FOUND,,,MANUAL
119,GOPS,mszana dolna,"Gminny Ośrodek Pomocy Społecznej w Mszanie Dolnej",NOT_FOUND,,,MANUAL
120,GOPS,niedzwiedz,"Gminny Ośrodek Pomocy Społecznej w Niedźwiedziu",NOT_FOUND,,,MANUAL
121,GOPS,szczawa,"Gminny Ośrodek Pomocy Społecznej w Szczawie",NOT_FOUND,,,MANUAL
123,GOPS,ksiaz wielki,"Gminny Ośrodek Pomocy Społecznej w Książu  Wielkim",NOT_FOUND,,,MANUAL
125,GOPS,raclawice,"Gminny Ośrodek Pomocy Społecznej w Racławicach",NOT_FOUND,,,MANUAL
136,GOPS,jablonka,"Ośrodek Pomocy Społecznej w Jabłonce",NOT_FOUND,,,MANUAL
137,GOPS,kroscienko nad dunajcem,"Gminny Ośrodek Pomocy Społecznej w Krościenku nad Dunajcem",NOT_FOUND,,,MANUAL
149,GOPS,chelmek,"Miejski Ośrodek Pomocy Społecznej w Chełmku",NOT_FOUND,,,MANUAL
180,GOPS,niegowic,"Gminny Ośrodek Pomocy Społecznej Niegowić",NOT_FOUND,,,MANUAL
183,GOPS,debno,"GOPS Dębno",NOT_FOUND,,,MANUAL
186,GOPS,szczurowa,"Gminny Ośrodek Pomocy Społecznej Szczurowa",NOT_FOUND,,,MANUAL
188,GOPS,trzebinia,"Miejsko-Gminny Ośrodek Pomocy Społecznej Trzebinia",NOT_FOUND,,,MANUAL
189,GOPS,dabrowa tarnowska,"Miejsko-Gminny Ośrodek Pomocy Społecznej w Dąbrowie Tarnowskiej",NOT_FOUND,,,MANUAL
190,GOPS,medrzechow,"Gminny Ośrodek Pomocy Społecznej Mędrzechów",NOT_FOUND,,,MANUAL
193,GOPS,szczucin,"MGOPS Szczucin",NOT_FOUND,,,MANUAL
194,GOPS,lipinki,"Ośrodek Pomocy Społecznej Lipinki",NOT_FOUND,,,MANUAL
