wojewodztwo,rok,wskaznik,wartosc_zl,zrodlo_provider,zrodlo_var_id,zrodlo_subject,zrodlo_url_api,zrodlo_url_www,zrodlo_pobrano
OPOLSKIE,2025,emerytura_zus,4141.47,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
KUJAWSKO-POMORSKIE,2015,emerytura_zus,1966.09,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
KUJAWSKO-POMORSKIE,2016,emerytura_zus,1995.36,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
KUJAWSKO-POMORSKIE,2017,emerytura_zus,2042.28,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
KUJAWSKO-POMORSKIE,2018,emerytura_zus,2117.35,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
KUJAWSKO-POMORSKIE,2019,emerytura_zus,2209.53,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
KUJAWSKO-POMORSKIE,2020,emerytura_zus,2327.44,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
KUJAWSKO-POMORSKIE,2021,emerytura_zus,2490.2,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
KUJAWSKO-POMORSKIE,2022,emerytura_zus,2726.56,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
KUJAWSKO-POMORSKIE,2023,emerytura_zus,3206.54,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
KUJAWSKO-POMORSKIE,2024,emerytura_zus,3660.6,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
KUJAWSKO-POMORSKIE,2025,emerytura_zus,3966.01,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
POMORSKIE,2015,emerytura_zus,2066.78,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
POMORSKIE,2016,emerytura_zus,2099.43,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
