id,nazwa,typ,typ_krotki,ulica,miejscowosc,kod_pocztowy,powiat,wojewodztwo,latitude,longitude,liczba_miejsc,koszt_pobytu,profil_opieki,telefon,www
234,Klub Senior+ — Grybów,Klub Senior+,Klub Senior+,Grybów 431,Grybów,33-330,nowosądecki,małopolskie,49.6262482,20.9583392,20,,,19 448 42 40,
233,Klub Senior+ — Grybów,Klub Senior+,Klub Senior+,Cieniawa 196,Grybów,33-330,nowosądecki,małopolskie,49.61596,20.8420528,20,,,18 448 42 40,
232,Klub Senior+ — Gródek nad Dunajcem,Klub Senior+,Klub Senior+,Gródek nad Dunajcem 28,Gródek nad Dunajcem,33-318,nowosądecki,małopolskie,49.7466783,20.73336,30,,,18 440 10 96,
242,Klub Senior+ — Kamionka Wielka,Klub Senior+,Klub Senior+,Kamionka Wielka 253,Kamionka Wielka,33-334,nowosądecki,małopolskie,49.5772435,20.782484,23,,,"18 44 907 63, 508 331 839",
247,Klub Senior+ — Korzenna,Klub Senior+,Klub Senior+,Siedlce 167,Korzenna,33-322,nowosądecki,małopolskie,49.6876669,20.7750957,20,,,18 440 66 26,
250,Klub Senior+ — Krynica-Zdrój,Klub Senior+,Klub Senior+,ul. Szkolna 3,Krynica-Zdrój,33-380,nowosądecki,małopolskie,49.4206138,20.9594176,30,,,"18 471 07 74, 502 980 528",
271,Klub Senior+ — Nawojowa,Klub Senior+,Klub Senior+,ul. Ogrodowa 6,Nawojowa,33-335,nowosądecki,małopolskie,49.55912,20.74119,18,,,18 445 79 14,
231,Klub Senior+ — Gródek nad Dunajcem,Klub Senior+,Klub Senior+,Rożnów 325,Rożnów,33-316,nowosądecki,małopolskie,49.765,20.6683333,30,,,18 440 10 96,
256,Klub Senior+ — Łącko,Klub Senior+,Klub Senior+,Łącko 662,Łącko,33-390,nowosądecki,małopolskie,49.5571674,20.4369759,50,,,"517 577 892, 18 414 07 34",
274,Klub Senior+ — Nowy Targ (miasto),Klub Senior+,Klub Senior+,Al. Tysiąclecia 42,Nowy Targ,34-400,nowotarski,małopolskie,49.4770292,20.0297169,30,,,"513 457 902, 18 26 11 700",
298,Klub Senior+ — Trzyciąż,Klub Senior+,Klub Senior+,Imbramowice 119,Trzyciąż,32-353,olkuski,małopolskie,50.3016845,19.849629,20,,,12 389 40 01 wew. 35,
278,Klub Senior+ — Przeciszów,Klub Senior+,Klub Senior+,ul. Długa 6,Przeciszów,32-641,oświęcimski,małopolskie,50.0047374,19.3744959,30,,,33 841 11 94,
272,Klub Senior+ — Nowe Brzesko,Klub Senior+,Klub Senior+,Rudno Dolne 31,Nowe Brzesko,32-120,proszowicki,małopolskie,50.1286934,20.3346426,15,,,12 385 26 55,
218,Klub Senior+ — Ciężkowice,Klub Senior+,Klub Senior+,Siekierczyna 67e,Bruśnik,33-192,tarnowski,małopolskie,49.7484324,20.9065506,52,,,14 696 51 05,
282,Klub Senior+ — Radłów,Klub Senior+,Klub Senior+,Plac Kościuszki 5,Radłów,33-130,tarnowski,małopolskie,50.0839635,20.8473865,50,,,14 691 93 99,
286,Klub Senior+ — Skrzyszów,Klub Senior+,Klub Senior+,Skrzyszów 629,Skrzyszów,33-156,tarnowski,małopolskie,49.9958783,21.0578903,25,,,14 674 23 46,
302,Klub Senior+ — Wierzchosławice,Klub Senior+,Klub Senior+,Wierzchosławice 696,Wierzchosławice,33-122,tarnowski,małopolskie,50.0204535,20.8538564,20,,,14 631 90 61,
306,Klub Senior+ — Żabno,Klub Senior+,Klub Senior+,ul. Świetego Jana 1A,Żabno,33-240,tarnowski,małopolskie,50.1335155,20.8859257,23,,,14 645 64 33,
202,Klub Senior+ — Biały Dunajec,Klub Senior+,Klub Senior+,ul. Jana Pawła II 310,Biały Dunajec,34-425,tatrzański,małopolskie,49.3805921,20.0122858,30,,,"601 866 870, 18 206 67 74",
201,Klub Senior+ — Andrychów,Klub Senior+,Klub Senior+,ul. Metalowców 10,Andrychów,34-120,wadowicki,małopolskie,49.8555791,19.3436756,15,,,33 432 27 23,
215,Klub Senior+ — Brzeźnica,Klub Senior+,Klub Senior+,ul. Wiślana 22,Brzeźnica,34-114,wadowicki,małopolskie,49.9583939,20.4765671,15,,,500154836,
241,Klub Senior+ — Kalwaria Zebrzydowska,Klub Senior+,Klub Senior+,ul. Partyzantów 2,Kalwaria Zebrzydowska,34-130,wadowicki,małopolskie,49.8669482,19.6763089,30,,,33 876 51 66,
287,Klub Senior+ — Stryszów,Klub Senior+,Klub Senior+,Stryszów 542,Stryszów,34-146,wadowicki,małopolskie,49.8247044,19.6235113,64,,,"18 333 50 66, 500 720 065",
